,Tanggal (UTC),Jenis,Bujur,Lintang
1116,17:08.0,Negative Cloud to Ground,"135,4064712","-2,989351043"
1117,17:08.0,Negative Cloud to Ground,"135,4861999","-2,977253999"
1118,17:08.0,Negative Cloud to Ground,"135,47079","-2,96920546"
1119,17:08.0,Negative Cloud to Ground,"135,4088421","-2,978986669"
1120,17:09.0,Negative Cloud to Ground,"135,4759428","-2,97297689"
1121,17:29.0,Intra/Inter Cloud,"135,6334349","-2,832109104"
1122,17:29.0,Negative Cloud to Ground,"135,8314671","-2,463359048"
1123,17:31.0,Positive Cloud to Ground,"135,5961945","-2,87941438"
1124,18:22.0,Intra/Inter Cloud,"135,4328931","-2,977457838"
1125,18:22.0,Negative Cloud to Ground,"135,5604132","-2,972035373"
1126,19:20.0,Intra/Inter Cloud,"135,5370891","-3,051855602"
1127,19:22.0,Negative Cloud to Ground,"135,8107696","-2,737644961"
1128,19:22.0,Intra/Inter Cloud,"135,7711177","-2,841246828"
1129,19:23.0,Negative Cloud to Ground,"135,823861","-2,632694242"
1130,19:23.0,Intra/Inter Cloud,"135,5304111","-2,861548212"
1131,19:47.0,Negative Cloud to Ground,"135,4794043","-2,659888829"
1132,19:47.0,Negative Cloud to Ground,"135,4757362","-2,65939663"
1133,19:47.0,Negative Cloud to Ground,"135,4545189","-2,651473419"
1134,19:47.0,Negative Cloud to Ground,"135,447442","-2,65061988"
1135,20:20.0,Intra/Inter Cloud,"135,7457952","-2,8291165"
1136,20:20.0,Negative Cloud to Ground,"135,9174375","-2,69016003"
1137,20:20.0,Intra/Inter Cloud,"135,5451891","-3,031581481"
1138,20:20.0,Intra/Inter Cloud,"135,8007051","-2,655327132"
1139,20:20.0,Intra/Inter Cloud,"135,7459087","-2,657547974"
1140,20:21.0,Negative Cloud to Ground,"135,7836228","-2,576669123"
1141,20:21.0,Intra/Inter Cloud,"135,6686486","-2,824969787"
1142,20:45.0,Negative Cloud to Ground,"135,4772174","-3,097931021"
1143,21:07.0,Intra/Inter Cloud,"135,668191","-2,835451225"
1144,21:07.0,Intra/Inter Cloud,"135,699796","-2,787086385"
1145,21:07.0,Intra/Inter Cloud,"135,6515523","-2,897203057"
1146,21:07.0,Negative Cloud to Ground,"135,630657","-2,871199093"
1147,21:08.0,Negative Cloud to Ground,"135,5036046","-3,095934904"
1148,21:08.0,Negative Cloud to Ground,"135,6801802","-2,878703318"
1149,22:01.0,Negative Cloud to Ground,"135,4834171","-2,948521644"
1150,22:01.0,Negative Cloud to Ground,"135,4343985","-2,950339094"
1151,22:01.0,Negative Cloud to Ground,"135,4590275","-2,951275618"
1152,22:01.0,Negative Cloud to Ground,"135,4543826","-2,943868563"
1153,22:01.0,Negative Cloud to Ground,"135,4328731","-2,9462539"
1154,22:01.0,Negative Cloud to Ground,"135,4477635","-2,949644778"
1155,22:01.0,Negative Cloud to Ground,"135,4865297","-2,949174412"
1156,22:29.0,Intra/Inter Cloud,"135,5214692","-3,088637697"
