Tanggal (UTC),Jenis,Bujur,Lintang
13:59.0,Intra/Inter Cloud,"134,5577877","-3,677197873"
14:06.0,Intra/Inter Cloud,"134,7802581","-4,162299953"
14:06.0,Negative Cloud to Ground,"134,8582166","-4,123883447"
14:06.0,Intra/Inter Cloud,"134,8504513","-4,243048686"
14:06.0,Intra/Inter Cloud,"134,7338751","-3,998218356"
14:06.0,Negative Cloud to Ground,"134,9295729","-4,100646387"
14:21.0,Positive Cloud to Ground,"134,8024941","-4,132313023"
15:21.0,Intra/Inter Cloud,"134,8524118","-4,107599856"
15:22.0,Negative Cloud to Ground,"134,8505469","-4,132659428"
15:22.0,Negative Cloud to Ground,"134,947469","-4,172744987"
15:22.0,Negative Cloud to Ground,"134,7758313","-3,897045644"
15:22.0,Intra/Inter Cloud,"134,9042707","-4,137528553"
15:31.0,Intra/Inter Cloud,"134,7307234","-3,532586023"
16:23.0,Positive Cloud to Ground,"134,9210007","-4,013884246"
16:28.0,Positive Cloud to Ground,"134,9553191","-4,165572519"
16:35.0,Intra/Inter Cloud,"134,6730186","-4,151011555"
16:42.0,Positive Cloud to Ground,"134,8173487","-4,237067138"
16:53.0,Intra/Inter Cloud,"134,8971669","-4,209353298"
17:17.0,Negative Cloud to Ground,"134,7847227","-4,233142795"
17:17.0,Negative Cloud to Ground,"134,8138889","-4,204170971"
17:30.0,Positive Cloud to Ground,"134,9295654","-3,621663421"
17:31.0,Intra/Inter Cloud,"134,6632868","-3,577785224"
17:50.0,Intra/Inter Cloud,"134,808921","-4,232586798"
17:50.0,Negative Cloud to Ground,"134,7722158","-4,200849068"
18:29.0,Intra/Inter Cloud,"134,9783794","-4,146584883"
18:33.0,Intra/Inter Cloud,"134,7270045","-4,233623071"
18:36.0,Negative Cloud to Ground,"134,8436596","-4,24511064"
18:36.0,Negative Cloud to Ground,"134,9092718","-4,217733342"
18:36.0,Intra/Inter Cloud,"134,6364987","-4,146080242"
19:28.0,Intra/Inter Cloud,"134,8432718","-4,165237887"
19:57.0,Negative Cloud to Ground,"134,4907933","-3,76152974"
20:04.0,Intra/Inter Cloud,"134,7593475","-4,31232136"
20:13.0,Positive Cloud to Ground,"134,5296775","-3,639944276"
20:15.0,Intra/Inter Cloud,"134,811382","-4,271897285"
20:18.0,Intra/Inter Cloud,"134,7270724","-4,361045666"
20:22.0,Positive Cloud to Ground,"134,6218771","-3,651905571"
20:25.0,Intra/Inter Cloud,"134,7476542","-3,764553818"
